分类1	分类2	cate-flag	食材名称	热量	碳水化合物	蛋白质	脂肪	归经	性	味
禽肉类及制品	鸡	091#1053	肯德鸡(炸鸡)	279.00	20.30	17.30	10.50	肝,大肠	温	甘,酸
禽肉类及制品	鸡	091#1054	卤煮鸡	212.00	29.40	7.90	5.80	肝,大肠	温	甘,酸
禽肉类及制品	鸡	091#1055	瓦罐鸡汤(肉)	190.00	20.90	9.50	5.20	肝,大肠	温	甘,酸
禽肉类及制品	鸡	091#1056	瓦罐鸡汤(汤)	27.00	1.30	2.40	0.00	肝,大肠	温	甘,酸
禽肉类及制品	鸡	091#1057	鸡肉松	440.00	7.20	16.40	65.80	肝,大肠	温	甘,酸
禽肉类及制品	鸡	091#1058	扒鸡(五香脱骨)	206.00	23.40	10.80	3.80	肝,大肠	温	甘,酸
禽肉类及制品	鸡	091#1059	烤鸡	240.00	22.40	16.70	0.10	肝,大肠	温	甘,酸
禽肉类及制品	鸡	091#1060	童子鸡(熟)	226.00	15.80	18.10	0.00	肝,大肠	温	甘,酸
禽肉类及制品	鸭	092#1069	鸭肝	128.00	14.50	7.50	0.50	肝,大肠	温	甘,酸
禽肉类及制品	鸭	092#1070	鸭肝(公麻鸭)	136.00	14.70	4.10	10.10	肝,大肠	温	甘,酸
禽肉类及制品	鸭	092#1071	鸭肝(母麻鸭)	113.00	16.80	2.50	5.90	肝,大肠	温	甘,酸
禽肉类及制品	鸭	092#1072	鸭舌(鸭条)	245.00	16.60	19.70	0.40	肝,大肠	温	甘,酸
禽肉类及制品	鸭	092#1073	鸭心	143.00	12.80	8.90	2.90	肝,大肠	温	甘,酸
禽肉类及制品	鸭	092#1074	鸭血(白鸭)	108.00	13.60	0.40	12.40	肝,大肠	温	甘,酸
禽肉类及制品	鸭	092#1075	鸭血(公麻鸭)	56.00	13.20	0.40	0.00	肝,大肠	温	甘,酸
禽肉类及制品	鸭	092#1076	鸭血(母麻鸭)	55.00	13.10	0.30	0.00	肝,大肠	温	甘,酸
禽肉类及制品	鸭	092#1077	鸭胰	117.00	21.70	2.90	1.00	肝,大肠	温	甘,酸
禽肉类及制品	鸭	092#1078	鸭肫	92.00	17.90	1.30	2.10	肝,大肠	温	甘,酸
禽肉类及制品	鸭	092#1079	鸭肫(公麻鸭)	112.00	19.80	1.20	5.40	肝,大肠	温	甘,酸
禽肉类及制品	鸭	092#1080	鸭胗(母麻鸭)	126.00	20.40	4.20	1.60	肝,大肠	温	甘,酸
禽肉类及制品	鸭	092#1081	鸭豉片	603.00	18.30	56.10	6.10	肝,大肠	温	甘,酸
禽肉类及制品	鸭	092#1082	北京烤鸭	436.00	16.60	38.40	6.00	肝,大肠	温	甘,酸
禽肉类及制品	鸭	092#1083	北京填鸭	425.00	9.30	41.30	3.90	肝,大肠	温	甘,酸
禽肉类及制品	鸭	092#1084	红烧鸭(罐头)	338.00	15.30	30.50	0.60	肝,大肠	温	甘,酸
禽肉类及制品	鸭	092#1085	酱鸭	266.00	18.90	18.40	6.30	肝,大肠	温	甘,酸
禽肉类及制品	鸭	092#1086	酱鸭(加梅菜，罐头)	245.00	11.80	21.70	1.30	肝,大肠	温	甘,酸
禽肉类及制品	鸭	092#1087	盐水鸭(熟)	313.00	16.60	26.10	2.80	肝,大肠	温	甘,酸
禽肉类及制品	鸭	092#1061	鸭	240.00	15.50	19.70	0.20	肝,大肠	温	甘,酸
禽肉类及制品	鸭	092#1062	公麻鸭	360.00	14.30	30.90	6.10	肝,大肠	温	甘,酸
禽肉类及制品	鸭	092#1063	母麻鸭	461.00	13.00	44.80	1.40	肝,大肠	温	甘,酸
禽肉类及制品	鸭	092#1064	鸭胸脯肉	90.00	15.00	1.50	4.00	肝,大肠	温	甘,酸
禽肉类及制品	鸭	092#1065	鸭皮	538.00	6.50	50.20	15.10	肝,大肠	温	甘,酸
禽肉类及制品	鸭	092#1066	鸭翅	146.00	16.50	6.10	6.30	肝,大肠	温	甘,酸
禽肉类及制品	鸭	092#1067	鸭掌	150.00	26.90	1.90	6.20	肝,大肠	温	甘,酸
禽肉类及制品	鸭	092#1068	鸭肠	129.00	14.20	7.80	0.40	肝,大肠	温	甘,酸
禽肉类及制品	鹅	093#1088	鹅	251.00	17.90	19.90	0.00	肝,大肠	温	甘,酸
禽肉类及制品	鹅	093#1089	鹅肝	129.00	15.20	3.40	9.30			
禽肉类及制品	鹅	093#1090	鹅肫	100.00	19.60	1.90	1.10	肝,大肠	温	甘,酸
禽肉类及制品	鹅	093#1091	烧鹅	289.00	19.70	21.50	4.20	肝,大肠	温	甘,酸
禽肉类及制品	鹅	093#1092	腊鹅	410.00	24.60	21.50	29.60	肝,大肠	温	甘,酸
禽肉类及制品	火鸡	094#1093	火鸡胸脯肉	103.00	22.40	0.20	2.80	肝,大肠	温	甘,酸
禽肉类及制品	火鸡	094#1094	火鸡肝	143.00	20.00	5.60	3.10	肝,大肠	温	甘,酸
禽肉类及制品	火鸡	094#1095	火鸡肫	91.00	18.90	0.30	3.20	肝,大肠	温	甘,酸
禽肉类及制品	火鸡	094#1096	火鸡腿	91.00	20.00	1.20	0.00	肝,大肠	温	甘,酸
禽肉类及制品	其他	099#1097	鸽	201.00	16.50	14.20	1.70	肝,大肠	温	甘,酸
禽肉类及制品	其他	099#1098	鹌鹑	110.00	20.20	3.10	0.20			
禽肉类及制品	其他	099#1099	乳鸽	352.00	11.30	34.10	0.00	肝,大肠	温	甘,酸
禽肉类及制品	其他	099#1100	乳鸽(红烧)	255.00	16.90	20.80	0.00	肝,大肠	温	甘,酸
乳类及制品	奶粉	102#1108	全脂加糖奶粉	490.00	22.50	23.40	47.40	肝,大肠	温	甘,酸
乳类及制品	奶粉	102#1109	全脂牛奶粉	478.00	20.10	21.20	51.70	肝,大肠	温	甘,酸
乳类及制品	奶粉	102#1110	全脂速溶奶粉	466.00	19.90	18.90	54.00	肝,大肠	温	甘,酸
乳类及制品	奶粉	102#1111	全脂羊乳粉	498.00	18.80	25.20	49.00	肝,大肠	温	甘,酸
乳类及制品	酸奶	103#1112	酸奶	72.00	2.50	2.70	9.30	肝,大肠	温	甘,酸
乳类及制品	酸奶	103#1113	酸奶(高蛋白)	62.00	3.20	2.20	7.30	肝,大肠	温	甘,酸
乳类及制品	酸奶	103#1114	酸奶(脱脂)	57.00	3.30	0.40	10.00	肝,大肠	温	甘,酸
乳类及制品	酸奶	103#1115	酸奶(中脂)	64.00	2.70	1.90	9.00	肝,大肠	温	甘,酸
乳类及制品	酸奶	103#1116	酸奶(果料)	67.00	3.10	1.40	10.40	肝,大肠	温	甘,酸
乳类及制品	酸奶	103#1117	酸奶(桔味，脱脂)	48.00	3.20	0.30	8.20	肝,大肠	温	甘,酸
乳类及制品	酸奶	103#1118	酸奶(调味)	88.00	3.00	3.20	11.90	肝,大肠	温	甘,酸
乳类及制品	酸奶	103#1119	酸奶(果粒)	98.00	3.30	2.90	14.60	肝,大肠	温	甘,酸
乳类及制品	奶酪	104#1120	奶酪(干酪)	328.00	25.70	23.50	3.50	肝,大肠	温	甘,酸
乳类及制品	奶酪	104#1121	奶豆腐(脱脂)	343.00	53.70	2.50	26.50	肝,大肠	温	甘,酸
乳类及制品	奶酪	104#1122	奶豆腐(鲜)	305.00	46.20	7.80	12.50	肝,大肠	温	甘,酸
乳类及制品	奶酪	104#1123	奶疙瘩	426.00	55.10	15.00	17.70	肝,大肠	温	甘,酸
乳类及制品	奶酪	104#1124	契达干酪(普通)	412.00	25.50	34.40	0.10	肝,大肠	温	甘,酸
乳类及制品	奶酪	104#1125	契达干酪(脱脂)		31.50	15.00		肝,大肠	温	甘,酸
乳类及制品	奶酪	104#1126	曲拉	356.00	39.10	2.90	43.40	肝,大肠	温	甘,酸
乳类及制品	奶酪	104#1127	全脂软酪		8.60	31.00		肝,大肠	温	甘,酸
乳类及制品	奶酪	104#1128	酸酪蛋	443.00	40.40	20.40	24.40	肝,大肠	温	甘,酸
乳类及制品	奶酪	104#1129	羊乳酪	250.00	15.60	20.20	1.50	肝,大肠	温	甘,酸
乳类及制品	奶酪	104#1130	中脂软酪	180.00	9.20	14.50	3.10	肝,大肠	温	甘,酸
乳类及制品	奶酪	104#1131	低脂奶酪	241.00	21.60	11.60	12.60	肝,大肠	温	甘,酸
乳类及制品	奶酪	104#1132	硬质干酪	411.00	24.90	34.50	0.10	肝,大肠	温	甘,酸
乳类及制品	奶油	105#1133	奶油(焦克)	447.00	3.00	48.30	0.00	肝,大肠	温	甘,酸
乳类及制品	奶油	105#1134	奶油(食品工业)	504.00	1.10	55.50	0.00	肝,大肠	温	甘,酸
乳类及制品	奶油	105#1135	黄油	888.00	1.40	98.00	0.00	肝,大肠	温	甘,酸
乳类及制品	奶油	105#1136	黄油渣	599.00	11.10	43.80	40.00	肝,大肠	温	甘,酸
乳类及制品	奶油	105#1137	白脱(食品工业)	744.00	0.00	82.70	0.00	肝,大肠	温	甘,酸
乳类及制品	奶油	105#1138	酥油	860.00	1.50	94.40	1.10	肝,大肠	温	甘,酸
乳类及制品	奶油	105#1139	奶油	879.00	0.70	97.00	0.90	肝,大肠	温	甘,酸
乳类及制品	其他	109#1142	奶片	472.00	13.30	20.20	59.30	肝,大肠	温	甘,酸
乳类及制品	其他	109#1143	脱脂甜炼乳	275.00	10.30	0.20	58.00	肝,大肠	温	甘,酸
乳类及制品	其他	109#1140	炼乳(甜，罐头)	332.00	8.00	8.70	55.40	肝,大肠	温	甘,酸
乳类及制品	其他	109#1141	奶皮子	460.00	12.20	42.90	6.30	肝,大肠	温	甘,酸
蛋类及制品	鸡蛋	111#1144	鸡蛋	144.00	13.30	8.80	2.80	肝,大肠	温	甘,酸
蛋类及制品	鸡蛋	111#1145	鸡蛋(白皮)	138.00	12.70	9.00	1.50	肝,大肠	温	甘,酸
蛋类及制品	鸡蛋	111#1146	鸡蛋(土鸡)	138.00	14.40	6.40	5.60	肝,大肠	温	甘,酸
蛋类及制品	鸡蛋	111#1147	鸡蛋白	60.00	11.60	0.10	3.10	肝,大肠	温	甘,酸
蛋类及制品	鸡蛋	111#1148	鸡蛋白(乌骨鸡)	44.00	9.80	0.10	1.00	肝,大肠	温	甘,酸
蛋类及制品	鸡蛋	111#1149	鸡蛋黄	328.00	15.20	28.20	3.40	肝,大肠	温	甘,酸
蛋类及制品	鸡蛋	111#1150	鸡蛋黄(乌骨鸡)	263.00	15.20	19.90	5.70	肝,大肠	温	甘,酸
蛋类及制品	鸡蛋	111#1151	鸡蛋(红皮)	156.00	12.80	11.10	1.30	肝,大肠	温	甘,酸
蛋类及制品	鸡蛋	111#1152	藏鸡蛋	162.00	12.60	11.30	2.40	肝,大肠	温	甘,酸
蛋类及制品	鸡蛋	111#1153	乌鸡蛋(绿皮)	170.00	12.60	10.60	6.10			
蛋类及制品	鸡蛋	111#1154	鸡蛋粉(全蛋粉)	545.00	43.40	36.20	11.30	肝,大肠	温	甘,酸
蛋类及制品	鸡蛋	111#1155	鸡蛋黄粉	644.00	31.60	55.10	5.30	肝,大肠	温	甘,酸
蛋类及制品	鸡蛋	111#1156	松花蛋(鸡蛋)	178.00	14.80	10.60	5.80	肝,大肠	温	甘,酸
蛋类及制品	鸡蛋	111#1157	鸡蛋(煮)	143.00	12.10	10.50	0.10	肝,大肠	温	甘,酸
蛋类及制品	鸡蛋	111#1158	毛蛋	176.00	14.20	13.20	0.00	肝,大肠	温	甘,酸
蛋类及制品	鸡蛋	111#1159	荷包蛋(油煎)	195.00	13.50	15.00	1.40	肝,大肠	温	甘,酸
蛋类及制品	鸡蛋	111#1160	荷包蛋(煮)	155.00	12.30	11.70	0.20	肝,大肠	温	甘,酸
蛋类及制品	鸭蛋	112#1161	鸭蛋	180.00	12.60	13.00	3.10	肝,大肠	温	甘,酸
蛋类及制品	鸭蛋	112#1162	鸭蛋白	47.00	9.90	0.00	1.80	肝,大肠	温	甘,酸
蛋类及制品	鸭蛋	112#1163	鸭蛋黄	378.00	14.50	33.80	4.00	肝,大肠	温	甘,酸
蛋类及制品	鸭蛋	112#1164	海鸭蛋	243.00	12.70	13.80	16.90	肝,大肠	温	甘,酸
蛋类及制品	鸭蛋	112#1165	松花皮蛋(鸭蛋)	171.00	14.20	10.70	4.50	肝,大肠	温	甘,酸
蛋类及制品	鸭蛋	112#1166	咸鸭蛋	190.00	12.70	12.70	6.30	肝,大肠	温	甘,酸
蛋类及制品	鸭蛋	112#1167	咸鸭蛋(煮)	177.00	13.80	13.50	0.00	肝,大肠	温	甘,酸
蛋类及制品	鹌鹑蛋	114#1172	鹌鹑蛋	160.00	12.80	11.10	2.10	肝,大肠	温	甘,酸
蛋类及制品	鹌鹑蛋	114#1173	鹌鹑蛋(五香罐头)	152.00	11.60	11.70	0.00	肝,大肠	温	甘,酸
鱼虾蟹贝类	虾	122#1292	虾皮	153.00	30.70	2.20	2.50	肝,大肠	温	甘,酸
鱼虾蟹贝类	虾	122#1293	螯虾	93.00	14.80	3.80	0.00	肝,大肠	温	甘,酸
鱼虾蟹贝类	虾	122#1294	虾米	198.00	43.70	2.60	0.00	肝,大肠	温	甘,酸
鱼虾蟹贝类	虾	122#1295	虾脑酱	100.00	15.20	4.30	0.00	肝,大肠	温	甘,酸
鱼虾蟹贝类	虾	122#1296	虾酱	112.00	10.80	7.60	0.00	肝,大肠	温	甘,酸
鱼虾蟹贝类	虾	122#1297	虾仁(红)	48.00	10.40	0.70	0.00	肝,大肠	温	甘,酸
鱼虾蟹贝类	虾	122#1298	虾仁肉丸	149.00	4.60	7.40	16.70	肝,大肠	温	甘,酸
鱼虾蟹贝类	虾	122#1278	白米虾(水虾米)	81.00	17.30	0.40	2.00	肝,大肠	温	甘,酸
鱼虾蟹贝类	虾	122#1279	斑节对虾(草虾)	103.00	18.60	0.80	5.40	肝,大肠	温	甘,酸
鱼虾蟹贝类	虾	122#1280	长毛对虾	90.00	18.50	0.40	3.00	肝,大肠	温	甘,酸
鱼虾蟹贝类	虾	122#1281	刺蛄	77.00	16.00	1.40	0.00	肝,大肠	温	甘,酸
鱼虾蟹贝类	虾	122#1282	东方对虾	84.00	18.30	0.50	1.60			
鱼虾蟹贝类	虾	122#1283	对虾	93.00	18.60	0.80	2.80	肝,大肠	温	甘,酸
鱼虾蟹贝类	虾	122#1284	海虾	79.00	16.80	0.60	1.50	肝,大肠	温	甘,酸
鱼虾蟹贝类	虾	122#1285	河虾	87.00	16.40	2.40	0.00	肝,大肠	温	甘,酸
鱼虾蟹贝类	虾	122#1286	基围虾	101.00	18.20	1.40	3.90	肝,大肠	温	甘,酸
鱼虾蟹贝类	虾	122#1287	江虾(沼虾)	87.00	10.30	0.90	9.30	肝,大肠	温	甘,酸
鱼虾蟹贝类	虾	122#1288	龙虾	90.00	18.90	1.10	1.00	肝,大肠	温	甘,酸
鱼虾蟹贝类	虾	122#1289	明虾	85.00	13.40	1.80	3.80	肝,大肠	温	甘,酸
鱼虾蟹贝类	虾	122#1290	塘水虾(草虾)	96.00	21.20	1.20	0.00	肝,大肠	温	甘,酸
鱼虾蟹贝类	虾	122#1291	虾虎	81.00	11.60	1.70	4.80	肝,大肠	温	甘,酸
鱼虾蟹贝类	蟹	123#1299	海蟹	95.00	13.80	2.30	4.70	肝,大肠	温	甘,酸
鱼虾蟹贝类	蟹	123#1300	河蟹	103.00	17.50	2.60	2.30	肝,大肠	温	甘,酸
鱼虾蟹贝类	蟹	123#1301	踞缘青蟹(青蟹)	80.00	14.60	1.60	1.70	肝,大肠	温	甘,酸
鱼虾蟹贝类	蟹	123#1302	梭子蟹	95.00	15.90	3.10	0.90	肝,大肠	温	甘,酸
鱼虾蟹贝类	蟹	123#1303	蟹肉	62.00	11.60	1.20	1.10	肝,大肠	温	甘,酸
鱼虾蟹贝类	蟹	123#1304	海蟹(小)	81.00	14.20	1.10	3.60	肝,大肠	温	甘,酸
鱼虾蟹贝类	蟹	123#1305	蟹足棒	123.00	9.00	0.60	20.50	肝,大肠	温	甘,酸
鱼虾蟹贝类	贝	124#1306	鲍鱼(杂色鲍)	84.00	12.60	0.80	6.60	肝,大肠	温	甘,酸
鱼虾蟹贝类	贝	124#1307	鲍鱼(干)	322.00	54.10	5.60	13.70	肝,大肠	温	甘,酸
鱼虾蟹贝类	贝	124#1308	蛏子	40.00	7.30	0.30	2.10	肝,大肠	温	甘,酸
鱼虾蟹贝类	贝	124#1309	蛏干	340.00	46.50	4.90	27.40	肝,大肠	温	甘,酸
鱼虾蟹贝类	贝	124#1310	赤贝	61.00	13.90	0.60	0.00	肝,大肠	温	甘,酸
鱼虾蟹贝类	贝	124#1311	河蚌	54.00	10.90	0.80	0.70	肝,大肠	温	甘,酸
鱼虾蟹贝类	贝	124#1312	河蚬	47.00	7.00	1.40	1.70	肝,大肠	温	甘,酸
鱼虾蟹贝类	贝	124#1313	牡蛎	73.00	5.30	2.10	8.20	肝,大肠	温	甘,酸
鱼虾蟹贝类	贝	124#1314	生蚝	57.00	10.90	1.50	0.00	肝,大肠	温	甘,酸
鱼虾蟹贝类	贝	124#1315	泥蚶	71.00	10.00	0.80	6.00	肝,大肠	温	甘,酸
鱼虾蟹贝类	贝	124#1316	扇贝(鲜)	60.00	11.10	0.60	2.60	肝,大肠	温	甘,酸
鱼虾蟹贝类	贝	124#1317	扇贝(干)	264.00	55.60	2.40	5.10	肝,大肠	温	甘,酸
鱼虾蟹贝类	贝	124#1318	鲜贝	77.00	15.70	0.50	2.50	肝,大肠	温	甘,酸
鱼虾蟹贝类	贝	124#1319	银蚶(蚶子)	71.00	12.20	1.40	2.30	肝,大肠	温	甘,酸
鱼虾蟹贝类	贝	124#1320	淡菜(鲜)	80.00	11.40	1.70	4.70	肝,大肠	温	甘,酸
鱼虾蟹贝类	贝	124#1321	淡菜(干)	355.00	47.80	9.30	20.10	肝,大肠	温	甘,酸
鱼虾蟹贝类	贝	124#1322	海蚌	42.00	9.50	0.30	0.20			
鱼虾蟹贝类	贝	124#1323	蛤蜊	62.00	10.10	1.10	2.80	肝,大肠	温	甘,酸
鱼虾蟹贝类	贝	124#1324	花蛤蜊	45.00	7.70	0.60	2.20			
鱼虾蟹贝类	贝	124#1325	毛蛤蜊	97.00	15.00	1.00	7.10	肝,大肠	温	甘,酸
鱼虾蟹贝类	贝	124#1326	秋蛤蜊	89.00	15.60	0.70	5.00	肝,大肠	温	甘,酸
鱼虾蟹贝类	贝	124#1327	沙蛤蜊	56.00	8.90	1.90	0.80	肝,大肠	温	甘,酸
鱼虾蟹贝类	贝	124#1328	杂色蛤蜊	53.00	7.50	2.20	0.70	肝,大肠	温	甘,酸
鱼虾蟹贝类	贝	124#1329	螺	100.00	15.70	1.20	6.60	肝,大肠	温	甘,酸
鱼虾蟹贝类	贝	124#1330	红螺	119.00	20.20	0.90	7.60	肝,大肠	温	甘,酸
鱼虾蟹贝类	贝	124#1331	黄螺	106.00	19.80	1.00	4.50	肝,大肠	温	甘,酸
鱼虾蟹贝类	贝	124#1332	螺狮	59.00	7.50	0.60	6.00	肝,大肠	温	甘,酸
鱼虾蟹贝类	贝	124#1333	石螺	90.00	12.80	0.70	8.20	肝,大肠	温	甘,酸
鱼虾蟹贝类	贝	124#1334	田螺	60.00	11.00	0.20	3.60	肝,大肠	温	甘,酸
鱼虾蟹贝类	贝	124#1335	香海螺	163.00	22.70	3.50	10.10	肝,大肠	温	甘,酸
鱼虾蟹贝类	贝	124#1336	文蛤丸	211.00	16.20	9.20	15.80	肝,大肠	温	甘,酸
鱼虾蟹贝类	其他	129#1337	海参	78.00	16.50	0.20	2.50	肝,大肠	温	甘,酸
鱼虾蟹贝类	其他	129#1338	海参(干)	262.00	50.20	4.80	4.50	肝,大肠	温	甘,酸
鱼虾蟹贝类	其他	129#1339	海参(水浸)	25.00	6.00	0.10	0.00	肝,大肠	温	甘,酸
鱼虾蟹贝类	其他	129#1340	海蜇皮	33.00	3.70	0.30	3.80			
鱼虾蟹贝类	其他	129#1341	海蜇头	74.00	6.00	0.30	11.80	肝,大肠	温	甘,酸
鱼虾蟹贝类	其他	129#1342	墨鱼(曼氏无针乌贼)	83.00	15.20	0.90	3.40	肝,大肠	温	甘,酸
鱼虾蟹贝类	其他	129#1343	墨鱼(干)(曼氏无针乌贼)	287.00	65.30	1.90	2.10	肝,大肠	温	甘,酸
鱼虾蟹贝类	其他	129#1344	乌贼(鲜)	84.00	17.40	1.60	0.00	肝,大肠	温	甘,酸
鱼虾蟹贝类	其他	129#1345	乌贼(干)(台湾枪乌贼)	313.00	60.00	4.60	7.80	肝,大肠	温	甘,酸
鱼虾蟹贝类	其他	129#1346	鱿鱼(水浸)	75.00	17.00	0.80	0.00	肝,大肠	温	甘,酸
鱼虾蟹贝类	其他	129#1347	乌鱼蛋	66.00	14.10	1.10	0.00	肝,大肠	温	甘,酸
鱼虾蟹贝类	其他	129#1348	章鱼(真蛸)	52.00	10.60	0.40	1.40	肝,大肠	温	甘,酸
鱼虾蟹贝类	其他	129#1349	章鱼(八爪鱼)(八角鱼)	135.00	18.90	0.40	14.00	肝,大肠	温	甘,酸
鱼虾蟹贝类	其他	129#1350	甲鱼蛋	128.00	12.50	7.30	3.00	肝,大肠	温	甘,酸
鱼虾蟹贝类	其他	129#1351	墨鱼圈	72.00	13.00	2.20	0.00	肝,大肠	温	甘,酸
鱼虾蟹贝类	其他	129#1352	墨鱼丸	128.00	13.40	4.70	8.00	肝,大肠	温	甘,酸
小吃、甜饼	小吃	141#1366	春卷	465.00	6.10	33.70	34.80	肝,大肠	温	甘,酸
小吃、甜饼	小吃	141#1367	豆腐脑(带卤)	48.00	2.60	1.80	5.40	肝,大肠	温	甘,酸
小吃、甜饼	小吃	141#1368	粉皮	62.00	0.20	0.30	15.00	肝,大肠	温	甘,酸
小吃、甜饼	小吃	141#1369	灌肠	134.00	0.20	0.30	32.80	肝,大肠	温	甘,酸
小吃、甜饼	小吃	141#1370	焦圈	534.00	6.90	34.90	48.90	肝,大肠	温	甘,酸
小吃、甜饼	小吃	141#1371	京八件	441.00	7.20	16.40	67.60	肝,大肠	温	甘,酸
小吃、甜饼	小吃	141#1372	栗羊羹	302.00	3.70	0.60	70.90	肝,大肠	温	甘,酸
小吃、甜饼	小吃	141#1373	凉粉	38.00	0.20	0.30	8.90	肝,大肠	温	甘,酸
小吃、甜饼	小吃	141#1374	凉粉(带调料)	51.00	0.30	0.50	11.30	肝,大肠	温	甘,酸
小吃、甜饼	小吃	141#1375	凉面	167.00	4.80	1.70	33.30	肝,大肠	温	甘,酸
小吃、甜饼	小吃	141#1376	龙虾片	342.00	0.60	0.10	85.50	肝,大肠	温	甘,酸
小吃、甜饼	小吃	141#1377	驴打滚	198.00	8.20	0.20	41.80	肝,大肠	温	甘,酸
小吃、甜饼	小吃	141#1378	美味香酥卷	368.00	7.50	3.60	76.70	肝,大肠	温	甘,酸
小吃、甜饼	小吃	141#1379	蜜麻花	369.00	4.80	11.00	63.20	肝,大肠	温	甘,酸
小吃、甜饼	小吃	141#1380	蜜三刀	427.00	4.40	14.20	70.70	肝,大肠	温	甘,酸
小吃、甜饼	小吃	141#1381	面窝	291.00	5.20	10.70	44.00	肝,大肠	温	甘,酸
小吃、甜饼	小吃	141#1382	年糕	156.00	3.30	0.60	34.70	肝,大肠	温	甘,酸
小吃、甜饼	小吃	141#1383	酿皮	107.00	4.40	0.30	21.80	肝,大肠	温	甘,酸
小吃、甜饼	小吃	141#1384	青稞炒面	366.00	11.80	2.20	77.00	肝,大肠	温	甘,酸
小吃、甜饼	小吃	141#1385	热干面	153.00	4.20	2.40	28.70	肝,大肠	温	甘,酸
小吃、甜饼	小吃	141#1386	三刀蜜	385.00	4.10	10.50	69.30	肝,大肠	温	甘,酸
小吃、甜饼	小吃	141#1387	三鲜豆皮	239.00	6.00	10.20	31.00	肝,大肠	温	甘,酸
小吃、甜饼	小吃	141#1388	汤包	237.00	8.10	11.60	25.20	肝,大肠	温	甘,酸
小吃、甜饼	小吃	141#1389	甜胚子	131.00	5.20	0.20	27.20	肝,大肠	温	甘,酸
小吃、甜饼	小吃	141#1390	甜醅	192.00	7.80	0.10	41.00	肝,大肠	温	甘,酸
小吃、甜饼	小吃	141#1391	豌豆黄	138.00	7.50	0.60	26.70	肝,大肠	温	甘,酸
小吃、甜饼	小吃	141#1392	香油炒面	410.00	12.40	4.80	80.10	肝,大肠	温	甘,酸
小吃、甜饼	小吃	141#1393	油茶	96.00	2.40	0.90	20.00	肝,大肠	温	甘,酸
小吃、甜饼	小吃	141#1394	油炸豆瓣	406.00	25.10	9.80	54.70	肝,大肠	温	甘,酸
小吃、甜饼	小吃	141#1395	油炸豆花	404.00	33.40	14.80	35.10	肝,大肠	温	甘,酸
小吃、甜饼	小吃	141#1396	炸糕	282.00	6.10	12.30	37.30	肝,大肠	温	甘,酸
小吃、甜饼	小吃	141#1397	糌粑(稞麦熟品)	261.00	4.10	13.10	32.50	肝,大肠	温	甘,酸
小吃、甜饼	小吃	141#1398	春卷(素馅)	189.00	4.90	4.60	33.80	肝,大肠	温	甘,酸
小吃、甜饼	小吃	141#1399	黑芝麻汤圆	315.00	4.40	13.80	44.20	肝,大肠	温	甘,酸
小吃、甜饼	小吃	141#1400	醪糟	101.00	2.60	0.20	22.40	肝,大肠	温	甘,酸
小吃、甜饼	小吃	141#1401	煎饼	333.00	9.50	3.50	70.00	肝,大肠	温	甘,酸
小吃、甜饼	小吃	141#1402	过桥米线	97.00	4.00	3.80	11.80	肝,大肠	温	甘,酸
小吃、甜饼	小吃	141#1362	艾窝窝	190.00	4.30	0.00	43.40	肝,大肠	温	甘,酸
小吃、甜饼	小吃	141#1363	白水羊头	193.00	22.40	11.00	1.20	肝,大肠	温	甘,酸
小吃、甜饼	小吃	141#1364	茶汤	93.00	1.50	0.10	21.50	肝,大肠	温	甘,酸
小吃、甜饼	小吃	141#1365	炒肝	96.00	2.80	8.00	3.30	肝,大肠	温	甘,酸
小吃、甜饼	蛋糕、甜点	142#1440	廖花糖	415.00	7.20	14.00	70.80	肝,大肠	温	甘,酸
小吃、甜饼	蛋糕、甜点	142#1441	绿豆糕	351.00	12.80	1.00	73.40	肝,大肠	温	甘,酸
小吃、甜饼	蛋糕、甜点	142#1442	麻烘糕	398.00	3.80	3.80	87.20	肝,大肠	温	甘,酸
小吃、甜饼	蛋糕、甜点	142#1443	麻花	527.00	8.30	31.50	53.40	肝,大肠	温	甘,酸
小吃、甜饼	蛋糕、甜点	142#1444	麻香糕	402.00	3.90	3.60	88.70	肝,大肠	温	甘,酸
小吃、甜饼	蛋糕、甜点	142#1445	米花糖	385.00	3.10	3.30	85.80	肝,大肠	温	甘,酸
小吃、甜饼	蛋糕、甜点	142#1446	起酥	500.00	8.70	31.70	45.10	肝,大肠	温	甘,酸
小吃、甜饼	蛋糕、甜点	142#1447	水晶饼	438.00	0.20	17.40	70.50	肝,大肠	温	甘,酸
小吃、甜饼	蛋糕、甜点	142#1448	酥皮糕点	429.00	8.10	15.50	65.00	肝,大肠	温	甘,酸
小吃、甜饼	蛋糕、甜点	142#1449	桃酥	483.00	7.10	21.80	65.10	肝,大肠	温	甘,酸
小吃、甜饼	蛋糕、甜点	142#1450	硬皮糕点	466.00	8.40	20.10	63.50	肝,大肠	温	甘,酸
小吃、甜饼	蛋糕、甜点	142#1451	芝麻桃酥	467.00	7.00	17.70	70.10	肝,大肠	温	甘,酸
小吃、甜饼	蛋糕、甜点	142#1452	状元饼	437.00	8.60	14.70	68.10	肝,大肠	温	甘,酸
小吃、甜饼	蛋糕、甜点	142#1453	茯苓夹饼	345.00	4.40	0.40	84.30	肝,大肠	温	甘,酸
小吃、甜饼	蛋糕、甜点	142#1454	沙琪玛蛋酥	512.00	5.90	30.40	55.10	肝,大肠	温	甘,酸
